wiek,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,"930,7","929,4","933,8","933,2","931,7","933,5","918,5","907,2","925,4","938,5","932,7","935,4","938,1","940,8","943,4","946,1","948,7","951,3","953,9","956,4","959,0","961,5","964,0","966,5","968,9","971,4","973,8","976,2","978,5","980,9","983,2","985,5","987,8","990,1","992,4","994,6","996,8","999,0","1 001,2","1 003,3","1 005,5","1 007,6","1 009,7","1 011,8","1 013,8","1 015,9","1 017,9","1 019,9","1 021,9","1 023,9","1 025,8","1 027,7","1 029,7","1 031,5","1 033,4","1 035,3","1 037,1","1 038,9","1 040,7","1 042,5","1 044,3","1 046,0","1 047,8","1 049,5","1 051,1","1 052,8","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5","1 054,5"
1,"922,7","921,2","925,6","925,0","923,3","925,0","909,7","898,7","916,9","930,0","926,7","929,1","931,6","934,1","936,6","939,1","941,5","943,9","946,3","948,7","951,1","953,5","955,8","958,1","960,5","962,8","965,1","967,3","969,6","971,9","974,1","976,3","978,5","980,6","982,8","984,9","987,1","989,2","991,3","993,4","995,5","997,5","999,5","1 001,5","1 003,5","1 005,5","1 007,5","1 009,4","1 011,3","1 013,3","1 015,2","1 017,0","1 018,9","1 020,7","1 022,6","1 024,4","1 026,1","1 027,9","1 029,7","1 031,4","1 033,2","1 034,9","1 036,6","1 038,3","1 039,9","1 041,6","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2","1 043,2"
2,"910,9","909,5","913,8","913,2","911,5","913,2","897,8","886,9","905,2","918,1","915,2","917,7","920,2","922,6","925,1","927,5","929,9","932,3","934,8","937,1","939,5","941,9","944,2","946,5","948,9","951,1","953,4","955,7","957,9","960,2","962,4","964,6","966,8","968,9","971,1","973,2","975,4","977,4","979,5","981,6","983,7","985,7","987,7","989,7","991,7","993,7","995,6","997,6","999,5","1 001,4","1 003,3","1 005,2","1 007,0","1 008,9","1 010,7","1 012,5","1 014,3","1 016,1","1 017,8","1 019,6","1 021,3","1 023,0","1 024,7","1 026,4","1 028,0","1 029,7","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3","1 031,3"
3,"899,2","897,6","902,0","901,4","899,6","901,3","886,1","875,0","893,4","906,4","903,3","905,8","908,3","910,7","913,2","915,7","918,1","920,5","922,9","925,2","927,6","930,0","932,3","934,6","936,9","939,2","941,5","943,8","946,0","948,2","950,5","952,6","954,8","957,0","959,1","961,3","963,4","965,5","967,6","969,7","971,7","973,8","975,8","977,8","979,8","981,7","983,7","985,6","987,5","989,5","991,4","993,2","995,1","996,9","998,7","1 000,5","1 002,3","1 004,1","1 005,9","1 007,6","1 009,3","1 011,0","1 012,7","1 014,4","1 016,1","1 017,7","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4","1 019,4"
4,"887,3","885,7","890,1","889,6","887,8","889,4","874,2","863,2","881,5","894,5","891,5","893,9","896,4","898,9","901,3","903,8","906,2","908,6","911,0","913,3","915,7","918,0","920,4","922,7","925,0","927,3","929,6","931,8","934,1","936,3","938,5","940,7","942,9","945,0","947,2","949,3","951,5","953,6","955,7","957,7","959,8","961,8","963,8","965,8","967,8","969,8","971,7","973,7","975,6","977,5","979,4","981,3","983,1","984,9","986,8","988,6","990,3","992,1","993,9","995,6","997,4","999,1","1 000,8","1 002,4","1 004,1","1 005,8","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4","1 007,4"
5,"875,4","873,8","878,2","877,6","875,9","877,6","862,2","851,3","869,6","882,6","879,6","882,0","884,5","887,0","889,4","891,8","894,2","896,6","899,0","901,4","903,8","906,1","908,5","910,8","913,1","915,4","917,6","919,9","922,1","924,4","926,6","928,8","930,9","933,1","935,2","937,4","939,5","941,6","943,7","945,8","947,8","949,8","951,9","953,8","955,8","957,8","959,8","961,7","963,6","965,5","967,4","969,3","971,1","973,0","974,8","976,6","978,4","980,2","981,9","983,6","985,4","987,1","988,8","990,5","992,1","993,8","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4","995,4"
6,"863,4","861,9","866,3","865,7","863,9","865,6","850,3","839,4","857,8","870,7","867,7","870,1","872,6","875,0","877,5","879,9","882,3","884,7","887,1","889,5","891,8","894,2","896,5","898,8","901,1","903,4","905,7","907,9","910,2","912,4","914,6","916,8","919,0","921,1","923,3","925,4","927,6","929,6","931,7","933,8","935,9","937,9","939,9","941,9","943,9","945,8","947,8","949,7","951,6","953,6","955,4","957,3","959,2","961,0","962,8","964,6","966,4","968,2","969,9","971,7","973,4","975,1","976,8","978,5","980,1","981,8","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4","983,4"
7,"851,5","850,0","854,3","853,7","852,0","853,7","838,4","827,5","845,9","858,7","855,8","858,2","860,7","863,1","865,6","868,0","870,4","872,8","875,2","877,5","879,9","882,2","884,6","886,9","889,2","891,5","893,7","896,0","898,2","900,5","902,7","904,8","907,0","909,2","911,3","913,5","915,6","917,7","919,8","921,8","923,9","925,9","927,9","929,9","931,9","933,9","935,8","937,7","939,7","941,6","943,5","945,3","947,2","949,0","950,8","952,6","954,4","956,2","957,9","959,7","961,4","963,1","964,8","966,5","968,1","969,8","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4","971,4"
8,"839,6","838,0","842,4","841,8","840,1","841,7","826,4","815,5","833,9","846,8","843,8","846,3","848,8","851,2","853,6","856,1","858,5","860,8","863,2","865,6","867,9","870,3","872,7","874,9","877,2","879,5","881,8","884,0","886,3","888,5","890,7","892,9","895,1","897,2","899,4","901,5","903,6","905,7","907,8","909,8","911,9","913,9","915,9","917,9","919,9","921,9","923,8","925,8","927,7","929,6","931,5","933,3","935,2","937,0","938,9","940,6","942,4","944,2","946,0","947,7","949,4","951,1","952,8","954,5","956,1","957,8","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4","959,4"
9,"827,6","826,1","830,5","829,9","828,1","829,8","814,6","803,6","822,0","835,0","831,9","834,4","836,8","839,3","841,7","844,1","846,5","848,9","851,3","853,7","856,0","858,4","860,7","863,0","865,3","867,6","869,8","872,1","874,3","876,5","878,7","880,9","883,1","885,3","887,4","889,5","891,6","893,7","895,8","897,9","899,9","901,9","904,0","906,0","908,0","909,9","911,9","913,8","915,7","917,6","919,5","921,4","923,2","925,0","926,9","928,7","930,4","932,2","934,0","935,7","937,4","939,1","940,8","942,5","944,1","945,8","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4","947,4"
