rok,średnioroczny wskaźnik cen towarów i usług konsumpcyjnych ogółem,wskaźnik realnego wzrostu przeciętnego wynagrodzenia,przeciętne miesięczne wynagrodzenie w gospodarce narodowej,stopa składki na ubezpieczenie emerytalne finansowanej przez pracownika,stopa składki na ubezpieczenie emerytalne finansowanej przez pracodawcę,stopa składki na ubezpieczenie emerytalne odprowadzana do OFE,stopa składki na ubezpieczenie emerytalne odprowadzana na subkonto ,łączna stopa składki odprowadzanej do OFE i składki ewidencjonowanej na subkoncie,wskaźnik waloryzacji składek zewidencjonowanych na koncie oraz kapitału początkowego za dany rok,wskaźnik waloryzacji składek zewidencjonowanych na subkoncie za dany rok,"ograniczenie górne miesięcznej podstawy wymiaru składek na ubezpieczenie emerytalne w danym roku, wyrażone w procencie przeciętnego miesięcznego wynagrodzenia w gospodarce narodowej",kwota najniższej emerytury obowiązująca od marca danego roku do lutego następnego roku
2014,"1,00000","1,03655","3 783,46","9,76%","9,76%","2,92%","4,38%","7,30%","102,06%","104,89%","250,00%","844,45"
2015,"0,99100","1,04011","3 899,78","9,76%","9,76%","2,92%","4,38%","7,30%","105,37%","104,37%","250,00%","880,45"
2016,"0,99400","1,04407","4 047,21","9,76%","9,76%","2,92%","4,38%","7,30%","106,37%","103,39%","250,00%","882,56"
2017,"1,02000","1,03473","4 271,51","9,76%","9,76%","2,92%","4,38%","7,30%","108,68%","103,99%","250,00%","1 000,00"
2018,"1,01600","1,05649","4 585,03","9,76%","9,76%","2,92%","4,38%","7,30%","109,20%","105,01%","250,00%","1 029,80"
2019,"1,02300","1,04854","4 918,17","9,76%","9,76%","2,92%","4,38%","7,30%","108,94%","105,73%","250,00%","1 100,00"
2020,"1,03400","1,01614","5 167,47","9,76%","9,76%","2,92%","4,38%","7,30%","105,41%","105,23%","250,00%","1 200,00"
2021,"1,05100","1,04263","5 662,53","9,76%","9,76%","2,92%","4,38%","7,30%","109,33%","107,07%","250,00%","1 250,88"
2022,"1,14400","0,97966","6 346,15","9,76%","9,76%","2,92%","4,38%","7,30%","114,40%","109,20%","250,00%","1 338,44"
2023,"1,11400","1,01215","7 155,48","9,76%","9,76%","2,92%","4,38%","7,30%","114,87%","109,91%","250,00%","1 588,44"
2024,"1,03600","1,09500","8 181,72","9,76%","9,76%","2,92%","4,38%","7,30%","114,41%","109,83%","250,00%","1 780,96"
2025,"1,05030","1,02020","8 766,84","9,76%","9,76%","2,92%","4,38%","7,30%","107,39%","111,13%","250,00%","1 878,91"
2026,"1,03050","1,03080","9 312,48","9,76%","9,76%","2,92%","4,38%","7,30%","106,61%","110,04%","250,00%","1 986,65"
2027,"1,02620","1,03080","9 850,81","9,76%","9,76%","2,92%","4,38%","7,30%","105,73%","107,62%","250,00%","2 065,44"
2028,"1,02520","1,02770","10 378,79","9,76%","9,76%","2,92%","4,38%","7,30%","105,19%","106,76%","250,00%","2 138,47"
2029,"1,02500","1,02710","10 926,56","9,76%","9,76%","2,92%","4,38%","7,30%","104,93%","106,46%","250,00%","2 210,62"
2030,"1,02500","1,02660","11 497,64","9,76%","9,76%","2,92%","4,38%","7,30%","104,72%","105,67%","250,00%","2 284,50"
2031,"1,02500","1,02600","12 091,49","9,76%","9,76%","2,92%","4,38%","7,30%","104,50%","105,31%","250,00%","2 360,62"
2032,"1,02500","1,02540","12 708,58","9,76%","9,76%","2,92%","4,38%","7,30%","104,32%","105,08%","250,00%","2 438,99"
2033,"1,02500","1,02490","13 350,65","9,76%","9,76%","2,92%","4,38%","7,30%","104,14%","104,92%","250,00%","2 519,67"
2034,"1,02500","1,02430","14 016,95","9,76%","9,76%","2,92%","4,38%","7,30%","104,12%","104,78%","250,00%","2 602,77"
