plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna,zadowolony
k,16152,2026,2048,3105,4056.92,False
m,4507,2024,2059,97225,5706.34,False
k,15475,2027,2056,13315,5217.752583374779,False
m,22689,2024,2044,25094,6158.6163088559315,False
k,25951,2026,2061,490,6565.653798811083,False
m,7012,2031,2055,39685,5043.61,False
k,11315,2028,2061,58848,6068.21,False
m,14114,2025,2060,9966,7603.814152305726,True
m,6279,2024,2063,14092,6451.77,False
m,8591,2025,2063,23768,6451.77,False
m,16888,2027,2047,1930,4122.354474653519,False
k,16974,2030,2054,26986,4889.78,False
k,21611,2026,2062,20127,6257.17,False
m,6355,2037,2062,38820,6257.17,False
m,8281,2029,2058,131940,5533.26,False
k,11742,2030,2062,22811,6257.17,False
m,13823,2030,2063,149146,6451.77,False
k,28867,2026,2062,40357,13116.255185374323,True
m,26553,2025,2062,50227,15242.485603669016,True
k,10902,2029,2063,62262,6451.77,False
m,8793,2035,2062,19619,6257.17,False
k,11151,2024,2043,44050,3468.11,False
k,7737,2024,2058,10250,5533.26,False
k,8997,2024,2063,3068,6451.77,False
m,12387,2034,2060,19689,5884.61,False
k,15627,2028,2058,28840,5533.26,False
k,6196,2024,2058,16585,5533.26,False
k,37391,2026,2059,50285,7886.641580161138,True
m,13367,2029,2060,24690,5884.61,False
k,21347,2034,2063,59176,6744.235773176366,False
k,5580,2034,2060,54950,5884.61,False
m,9157,2025,2052,10095,4595.52,False
k,9280,2029,2058,22279,5533.26,False
k,12643,2026,2054,139547,4889.78,False
k,21452,2029,2059,46877,5706.34,False
m,6691,2026,2057,1910,5365.22,False
k,6920,2030,2046,33203,3810.78,False
m,42205,2027,2063,5141,19493.379352258326,True
k,9222,2031,2061,8201,6068.21,False
m,4689,2026,2063,61279,6451.77,False
k,9154,2031,2059,3417,5706.34,False
m,6558,2028,2063,4395,6451.77,False
m,7283,2028,2059,20046,5706.34,False
m,6271,2025,2060,73057,5884.61,False
k,12338,2027,2062,32322,6257.17,False
m,15754,2028,2063,88025,7805.692211649997,True
k,7948,2030,2058,19537,5533.26,False
m,8615,2029,2060,21176,5884.61,False
m,9056,2030,2052,18399,4595.52,False
m,9574,2024,2051,2763,4454.84,False
k,8831,2028,2063,120,6451.77,False
m,6054,2028,2060,60390,5884.61,False
m,17269,2024,2056,18317,8011.034568078497,True
k,9428,2025,2049,13482,4185.61,False
k,26185,2027,2062,23982,6573.962211202253,False
k,9036,2025,2055,300,5043.61,False
k,13283,2025,2043,7033,3468.11,False
m,5715,2030,2063,69604,6451.77,False
k,8977,2025,2058,35925,5533.26,False
m,12338,2033,2059,10454,5706.34,False
k,9625,2025,2061,27793,6068.21,False
m,15485,2025,2060,35426,8342.430363359372,True
k,18989,2028,2046,61401,3810.78,False
m,6052,2026,2047,51692,3932.04,False
m,26146,2026,2052,4722,8782.8418542392,True
k,11376,2030,2055,20629,5043.61,False
m,5522,2040,2058,68490,5533.26,False
m,6108,2027,2060,3030,5884.61,False
m,8277,2025,2059,35616,5706.34,False
m,31202,2024,2059,67281,15851.214018525921,True
k,7623,2024,2057,41864,5365.22,False
k,16929,2024,2051,55810,4454.84,False
m,13487,2028,2056,2596,5202.08,False
k,11647,2025,2058,32244,5533.26,False
k,15604,2026,2060,26615,5884.61,False
m,8999,2025,2060,73774,5884.61,False
k,10174,2024,2061,46862,6068.21,False
