plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna,zadowolony
k,25320,2024,2061,44558,12433.320291177264,True
m,7878,2024,2052,60040,4595.52,False
m,7345,2028,2040,4442,3154.78,False
m,9337,2027,2062,7671,6257.17,True
k,18631,2025,2059,69275,8094.4722268153755,True
k,5769,2030,2058,21832,5533.26,False
m,9528,2037,2055,12732,5043.61,False
m,12364,2026,2054,3334,4889.78,False
k,8884,2024,2054,2974,4889.78,False
k,13231,2030,2063,26401,6451.77,True
k,12416,2027,2057,34364,5365.22,False
k,6371,2031,2063,36697,6451.77,True
k,22892,2024,2063,111650,7092.209951014799,True
k,17657,2027,2062,7227,7785.121715219155,True
m,25446,2024,2061,2843,14184.753131110689,True
k,17009,2031,2060,16291,5884.61,True
k,4937,2025,2059,132296,5706.34,False
m,22738,2025,2061,40322,12194.751016154925,True
m,5847,2025,2061,46914,6068.21,True
k,13285,2026,2053,4873,4740.46,False
k,20366,2030,2060,8674,6947.974459389318,True
m,7815,2025,2062,39063,6257.17,True
m,15427,2025,2063,4848,9015.829677962638,True
m,8883,2027,2056,24557,5202.08,False
k,14246,2035,2055,45700,5043.61,False
k,11908,2024,2062,7403,6257.17,True
k,5737,2031,2063,44343,6451.77,True
k,5148,2039,2059,18292,5706.34,False
m,4781,2034,2060,5219,5884.61,True
k,23131,2024,2051,34712,7481.6279874494,True
k,4706,2032,2058,65599,5533.26,False
m,6412,2025,2050,36255,4318.21,False
k,5346,2026,2062,50001,6257.17,True
k,12287,2024,2062,5317,6443.571741244769,True
k,8533,2028,2053,10242,4740.46,False
k,9814,2030,2063,4949,6451.77,True
m,4883,2033,2061,26505,6068.21,True
m,9005,2028,2061,11016,6068.21,True
m,7102,2025,2063,35555,6451.77,True
m,17060,2024,2053,3754,6950.891068783242,True
k,17836,2031,2062,13072,6257.17,True
m,18253,2025,2050,2539,6312.8568156869305,True
m,12202,2031,2053,13038,4740.46,False
m,10565,2024,2058,72152,5533.26,False
m,8740,2031,2048,4639,4056.92,False
k,19065,2027,2057,14515,5365.22,False
k,23471,2025,2050,44960,4318.21,False
m,17227,2025,2059,82014,8507.721928273226,True
k,5956,2025,2062,6201,6257.17,True
m,7717,2024,2055,37873,5043.61,False
k,11126,2030,2058,15420,5533.26,False
k,6473,2026,2055,40341,5043.61,False
m,9132,2027,2062,13273,6257.17,True
m,9249,2032,2058,251,5533.26,False
m,33962,2025,2061,2595,17518.58307369753,True
k,15204,2031,2061,38815,6068.21,True
m,27050,2025,2062,24117,15475.844374032531,True
k,14330,2025,2054,52889,5000.66007744664,False
m,5663,2029,2059,60976,5706.34,False
k,31744,2026,2048,27143,4149.776476790901,False
m,8175,2024,2055,10852,5043.61,False
k,10198,2024,2051,6326,4454.84,False
k,24383,2024,2055,3015,5337.385844914209,False
k,8215,2024,2052,72228,4595.52,False
m,11811,2025,2056,106930,5202.08,False
k,20226,2040,2063,13030,6451.77,True
k,22442,2024,2061,76096,6408.729958023449,True
k,13545,2026,2063,75321,6591.574820223768,True
k,6700,2024,2051,3218,4454.84,False
m,8301,2024,2059,21974,5706.34,False
m,15742,2025,2061,48143,8845.651457292417,True
m,17830,2029,2057,17250,6359.172186236151,True
m,14355,2028,2056,104540,5422.482984075993,False
k,14446,2031,2063,12245,6451.77,True
m,9282,2028,2055,48069,5043.61,False
m,23861,2024,2060,16656,13487.957063442342,True
k,17474,2028,2054,20629,5036.869744464098,False
k,10717,2032,2058,64273,5533.26,False
k,20035,2027,2061,19151,8453.02816158435,True
m,23434,2024,2060,27596,13283.075710277615,True
m,7212,2025,2060,101418,5884.61,True
m,19288,2027,2063,31027,10545.714474387894,True
k,14602,2029,2063,44928,6451.77,True
m,4562,2034,2060,88768,5884.61,True
m,28703,2026,2061,13647,14851.456739988575,True
m,4612,2027,2046,25041,3810.78,False
k,6907,2028,2061,11512,6068.21,True
m,37069,2024,2059,51048,17657.720929737694,True
k,13964,2036,2046,5376,3810.78,False
m,13225,2024,2056,3526,6135.035738192029,True
k,7279,2027,2053,42018,4740.46,False
m,15034,2031,2063,45315,6634.030442291933,True
k,10579,2032,2054,83385,4889.78,False
m,7950,2024,2061,15878,6068.21,True
m,10536,2025,2062,10553,6257.17,True
m,14917,2025,2058,97197,7381.183397884548,True
m,6091,2026,2055,25807,5043.61,False
k,9602,2029,2054,39691,4889.78,False
k,9410,2025,2045,5685,3693.12,False
