plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna
m,8812,2028,2062,61014,6257.17
m,5414,2024,2061,20548,6068.21
k,11950,2027,2061,15876,6068.21
m,48130,2026,2058,34691,17988.73495777277
m,12546,2025,2063,26373,7666.5045808132845
m,5525,2025,2063,30628,6451.77
m,10978,2035,2055,22820,5043.61
k,9348,2028,2057,25728,5365.22
k,24371,2026,2063,34985,11831.63889795607
k,15975,2026,2053,4224,4990.135590549864
k,5509,2033,2062,44134,6257.17
k,15910,2036,2061,21703,6068.21
m,14500,2024,2060,29484,8314.382751940013
k,8046,2026,2060,572,5884.61
m,5641,2024,2063,52551,6451.77
m,11215,2025,2060,59748,6041.9991298078985
k,10907,2025,2062,4500,6257.17
m,5346,2029,2060,20077,5884.61
k,13495,2025,2063,7368,6947.764062601781
k,5989,2027,2058,76349,5533.26
k,8754,2024,2063,56595,6451.77
k,21463,2028,2063,9263,9368.260550002868
k,5981,2031,2061,40246,6068.21
m,18082,2027,2048,46950,4884.176495240558
k,5552,2030,2062,1976,6257.17
k,11481,2025,2051,69074,4454.84
k,8232,2028,2060,8065,5884.61
k,13912,2025,2061,40198,6579.7610915457935
m,14890,2025,2061,23319,8366.900660594847
m,5810,2026,2061,23580,6068.21
k,8077,2027,2050,79813,4318.21
k,9963,2024,2048,1426,4056.92
m,12537,2024,2060,12617,7188.787349039436
k,4957,2033,2060,52403,5884.61
k,18922,2033,2060,10120,5884.61
m,33441,2028,2063,68828,16739.64840140914
k,23782,2031,2049,7460,4249.046978613628
m,28705,2034,2056,33701,7474.360921980762
k,5414,2024,2063,7287,6451.77
m,9230,2024,2059,26428,5706.34
k,7762,2024,2055,94031,5043.61
k,13575,2025,2056,126186,5202.08
m,30384,2025,2062,18644,16923.075439491404
m,17904,2028,2062,35801,8875.675357571912
m,4977,2026,2053,76518,4740.46
k,14623,2033,2061,43138,6068.21
m,5553,2025,2063,91474,6451.77
k,5583,2027,2058,35979,5533.26
m,7385,2024,2058,61041,5533.26
k,22858,2035,2061,49791,6161.452155854942
m,10184,2026,2060,44255,5884.61
k,54860,2024,2063,2078,21640.75309690074
m,24357,2035,2055,49386,5597.483118036985
k,35676,2031,2063,5069,13033.201609247524
m,11213,2037,2062,101297,6257.17
m,11545,2029,2062,42480,6257.17
k,14742,2028,2059,5927,5706.34
k,4721,2026,2063,51197,6451.77
k,21896,2030,2062,9875,8200.213883841028
k,9682,2026,2062,49630,6257.17
m,8508,2026,2055,51092,5043.61
k,28271,2026,2056,27576,9895.199609575844
m,7487,2036,2055,16845,5043.61
m,8221,2026,2063,36762,6451.77
m,8183,2031,2062,18656,6257.17
m,5180,2029,2054,28488,4889.78
k,12243,2026,2051,37532,4454.84
k,9249,2027,2054,54194,4889.78
k,8720,2026,2047,37174,3932.04
k,10385,2035,2058,78205,5533.26
k,5919,2031,2049,33339,4185.61
k,8721,2028,2059,2591,5706.34
m,4662,2027,2058,58620,5533.26
k,13734,2030,2058,10246,5533.26
k,14226,2031,2053,3419,4740.46
k,10732,2026,2059,71257,5706.34
m,41707,2025,2058,22098,17345.948335175217
m,6465,2028,2054,30825,4889.78
k,12602,2026,2056,17016,5202.08
k,5566,2028,2057,28104,5365.22
k,17962,2027,2059,25799,6938.169961538263
k,34449,2028,2048,1980,6838.652214154402
k,14775,2024,2061,23091,7431.544923849728
k,6847,2028,2048,446,4056.92
k,13351,2024,2057,33196,5678.688312644349
m,7996,2037,2063,15231,6451.77
m,5549,2028,2062,47305,6257.17
k,15377,2035,2063,27844,6451.77
k,23658,2024,2059,3392,10806.01178947424
m,5806,2027,2045,54707,3693.12
m,9067,2025,2061,26558,6068.21
m,6713,2025,2062,1847,6257.17
k,8298,2027,2063,14612,6451.77
m,48652,2026,2061,11811,20814.78446620605
m,27291,2026,2055,17495,10937.918531550311
