plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,absence,emerytura_urealniona,emerytura_nominalna,stopa_zastapienia
m,6643,2028,2058,False,2433.1927394322543,5533.26,0.1379790669681965
m,8305,2025,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,11117,2028,2058,True,2433.1927394322543,5533.26,0.1379790669681965
m,17138,2026,2063,False,3847.3913639027573,9898.975707256435,0.20178571741850704
m,25591,2033,2062,False,3846.85780912099,9656.197971748978,0.20484463696612512
k,9357,2032,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,10986,2029,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,11160,2027,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,8419,2024,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,6068,2028,2050,False,2313.6098054841045,4318.21,0.15033116156332627
k,20484,2025,2063,False,4098.859647586765,10545.97992281104,0.21497457792988098
m,6991,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,46354,2036,2059,False,5251.423416464722,12240.677825905344,0.293045155324612
k,8007,2032,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,11385,2040,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,7169,2024,2054,True,2373.4507028193652,4889.78,0.1438238270036237
k,6517,2033,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,8255,2024,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,5315,2028,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,8607,2035,2056,False,2403.3675427861226,5202.08,0.14082233891966942
m,10605,2027,2057,False,2418.2813943666365,5365.22,0.13938246617093747
m,8930,2040,2060,True,2463.0055415731995,5884.61,0.1352786395929004
m,10521,2033,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,24488,2024,2045,False,3515.0608985176864,5798.653647448485,0.2504681666331977
k,10838,2036,2053,False,2358.4965625558334,4740.46,0.14539013835258902
m,17475,2044,2057,False,2418.2813943666365,5365.22,0.13938246617093747
k,23240,2024,2060,True,2654.7318311241565,6342.682229928406,0.14580905504948988
k,6045,2046,2058,True,2433.1927394322543,5533.26,0.1379790669681965
k,5454,2031,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,20890,2026,2056,True,2403.3675427861226,5202.08,0.14082233891966942
k,10287,2026,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,13301,2036,2060,True,2463.0055415731995,5884.61,0.1352786395929004
k,12201,2031,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,7965,2025,2056,False,2403.3675427861226,5202.08,0.14082233891966942
k,5082,2030,2058,True,2433.1927394322543,5533.26,0.1379790669681965
k,4804,2029,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,11145,2026,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,17282,2025,2056,True,2403.3675427861226,5202.08,0.14082233891966942
m,23336,2035,2055,True,2428.815611628715,5128.938779729131,0.1447043141170387
k,5245,2024,2056,False,2403.3675427861226,5202.08,0.14082233891966942
m,6883,2037,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,7758,2025,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,13498,2026,2052,True,2343.5449463207156,4595.52,0.1469966183407991
m,14592,2028,2063,False,2938.186823982745,7559.678037142169,0.15410029292823144
m,16082,2026,2059,True,3210.6780626019136,7483.852024537277,0.1791654522852971
m,13683,2027,2054,True,2373.4507028193652,4889.78,0.1438238270036237
k,11820,2028,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,23980,2030,2053,True,3275.9748011346496,6584.545321091229,0.20194832468206597
k,13309,2027,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,9438,2030,2055,True,2388.408057312325,5043.61,0.14229690722929264
